Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
NUProtein Co.,"Japan-based company providing plant-based synthetic proteins for cultured media, such as growth factors and myoglobin of any animals from wheat germ",Cultivated,Ingredients and inputs,Cell culture media,,,,Asia Pacific,Japan,Hyogo,Tokushima,https://nuprotein.jp/en,2016,"Masataka Minami
",nulogo2.png (https://dl.airtable.com/.attachments/886f020c2d1227e7c0a53c1a7bee68f5/12ea76f0/nulogo2.png)
Multus Media,U.K.-based startup working on serum free cell culture media for cultivated meat,Cultivated,Ingredients and inputs,Cell culture media,,,,Europe,United Kingdom,,London,https://multus.media/,2019,Kevin Pan,Capture.JPG (https://dl.airtable.com/.attachments/a2ca0b2a364ff4c67181246d0273d90a/6ae03058/Capture.JPG)
Vivax Bio (part of a larger business),Startup working on 3D bioprinting solutions for cultivated meat,Cultivated,Bioprocessing infrastructure and equipment,"Scaffolding and structure,Bioprocess design",,,,U.S. and Canada,United States,New York,New York,http://www.vivaxbio.com/,2018,Yakov Balahovsky ,Capture.JPG (https://dl.airtable.com/.attachments/0e15ef9e03bbfe25d28ea9c023486578/bfe4d9da/Capture.JPG)
SunP Biotech (part of a larger business),Startup working on bioprinters/bioink for cultivated meat and other applications,Cultivated,Bioprocessing infrastructure and equipment,Scaffolding and structure,,,,"U.S. and Canada,Asia Pacific",,,Cherry Hill/Beijing,https://sunpbiotech.com/,2014,Wei Sun,Screen Shot 2021-02-08 at 2_19_02 PM.png (https://dl.airtable.com/.attachments/46fb3f4ba5130e7e92010902c2697469/3ebe11b3/ScreenShot2021-02-08at2_19_02PM.png)
Cultured Blood,Netherlands-based startup working on manufacturing cultivated blood for the cultivated meat industry,Cultivated,Ingredients and inputs,Cell culture media,Other,,,Europe,Netherlands,,Eindhoven,http://culturedblood.com/,2019,Robert ten Hoor,ml52jpnt03e1jv4uybox.png (https://dl.airtable.com/.attachments/fd6d3d7751db8c4db5de2520eee1aae9/0a4a8949/ml52jpnt03e1jv4uybox.png)
Agulos Biotech,U.S.-based startup developing Simulated Platelet Lysate (porcine) as a replacement for fetal bovine serum.,Cultivated,Bioprocessing infrastructure and equipment,Cell culture media,,Beef/veal,,U.S. and Canada,United States,Wisconsin,Lake Mills,http://agulosbiotech.com/,2017,Jonathan Irwin,download (1).png (https://dl.airtable.com/.attachments/a67f0835763f5c7a600483acce64dbc2/78644fd0/download1.png)
Incuvers,Startup working on cell incubators for cultivated meat and other applications ,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,Other,,,U.S. and Canada,Canada,Ontario,Ottawa,https://incuvers.com/,2018,Sebastian Hadjiantoniou. Andrew Pelling,Capture.JPG (https://dl.airtable.com/.attachments/fcb010ee13c56fb447d72bbf2f26d5c2/8e1e668c/Capture.JPG)
Ospin Modular Bioprocessing,Startup providing bioreactor systems for cultivated meat and tissue engineering uses ,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,Ground meat,Beef/veal,,Europe,Germany,,Berlin,https://ospin.de/,2014,Jan Saam,ospin-logo-500.png (https://dl.airtable.com/.attachments/730357b71bbae584744a6bdd3c195f27/7e20d6da/ospin-logo-500.png)
Future Fields,Canada-based startup working on serum free cell culture media for cultivated meat and milk,Cultivated,Ingredients and inputs,Cell culture media,"Whole muscle meat,Milk",,,U.S. and Canada,Canada,AB,Edmonton,https://www.futurefields.io/,2017,"Matthew Anderson-Baron, Lejjy Gafour, Jalene Anderson-Baron",5e2f414f78b2070e1cbe975a_Logo_A_SVG.svg (https://dl.airtable.com/.attachments/df1b7970153ab8812b13a057e9270e1f/643f4f72/5e2f414f78b2070e1cbe975a_Logo_A_SVG.svg)
Vegshelf,B2B Platform for retail-ready plant-based food products,Plant-based,"Contract manufacturing/processing,Other",,,,,Europe,Germany,,Dusseldorf,"
www.vegshelf.com",2018,"Baiba Soika, Marcis Lakstigala",Screen Shot 2021-01-09 at 12_30_35 AM.png (https://dl.airtable.com/.attachments/b604fafd63d917075bb79503878736e9/b7d98eb8/ScreenShot2021-01-09at12_30_35AM.png)
Incredible Foods,Creators of clean technology that is based on the concept of a biomimetic botanical fruit.,Plant-based,Ingredients and inputs,End product formulation and manufacturing,Other,,,U.S. and Canada,United States,MA,Boston,http://incrediblefoods.com/,2012,David Edwards,2017-01-25-15-47-incrediblefoodslogo_cropped_90.jpg (https://dl.airtable.com/.attachments/f43f0a48562e3d30eaa3e9d049cd5686/770bba8a/2017-01-25-15-47-incrediblefoodslogo_cropped_90.jpg)
Magellan Life Sciences,"Synthetic biology company that discovers and develops plant-inspired proteins for food and beverage applications, including ""Brazzein"" protein sweetener",Plant-based,Contract manufacturing/processing,Bioprocess design,,,,Europe,United Kingdom,England,London,http://magellanlifesciences.com/,,"Abhiram Dukkipati, Laxmi Wagle",Magellan.jpg (https://dl.airtable.com/.attachments/89c41e04d001cfd1e7f288ce36ef2b43/70b02dde/Magellan.jpg)
Hooked Foods,Maker of plant-based seafood ,Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,Other,Fish,,Europe,Sweden,,Stockholms,https://www.hookedfoods.com/,2019,"Emil Wasteson, Tom Johansson",1602153347620.jpg (https://dl.airtable.com/.attachments/83e614c55ec4947f97a78ff22b6db64b/e7159092/1602153347620.jpg)
Schouten Food,Producer of a variety of plant-based meats; provides private label production.,Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,Other meat,"Chicken,Beef/veal,Fish,Tuna","Wheat,Soy",Europe,Netherlands,"Giessen, The Netherlands","Giessen, The Netherlands",https://www.schoutenfood.com/usa/,1930,"Marinas, Bart, and Otto Schouten",schouten.png (https://dl.airtable.com/.attachments/bb8489605ed54c885c13168ac5e5df65/61405205/schouten.png)
NuMilk,"NuMilk provides non-dairy, fresh milled almond milk with the push of a button.",Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,Milk,,Almond,U.S. and Canada,United States,NY,North Salem,https://www.numilkfresh.com/,2018,Ari Tolwin,NUMlogo.svg (https://dl.airtable.com/.attachments/d63e532c35b10218ddfcbe3df6fa8fef/599efc6e/NUMlogo.svg)
Grounded Foods,Maker of plant-based cheese from cauliflower and hemp,"Plant-based,Traditional fermentation","Dairy,Ingredients and inputs",End product formulation and manufacturing,"Cheese,Other dairy",,"Cauliflower,Hemp",U.S. and Canada,United States,CA,Los Angeles,https://www.groundedfoods.com/,2019,"Veronica Fil, Shaun Quade",Capture.JPG (https://dl.airtable.com/.attachments/1c38c52dc5b0be0f64c85972d473ca1e/e23bcc7e/Capture.JPG)
