Company name,Brief description,Protein category,Company focus,Current round,Target deal size,Amount raised to date for this round,Total investment to date,Asset type,Target investor types,Pitch deck (optional),Video of pitch (optional),Technology Focus (from Database link),Product type,Animal-type analog,Ingredient type,Operating regions,Country,Founders,Year founded,Contact email,Website
Magic Valley,Australia-based company producing cultivated lamb meat,Cultivated,Meat,Pre-seed,"$750,000","$200,000","$200,000",SAFE,"Angel ,Venture capital ,Family office,Strategic or corporate,Private equity",Magic Valley Deck 0621.pdf (https://dl.airtable.com/.attachments/63dbda331babd79248cf3707660ff2bc/f71f8694/MagicValleyDeck0621.pdf),https://youtu.be/a7lt1P92Bkw,End product formulation and manufacturing,"Whole muscle meat,Other meat,Ground meat",Mutton/lamb,,Australia,Australia,Paul Bevan,2021,paul@magicvalley.com.au,https://magicvalley.com.au/
Innocent Meat,"Germany-based company providing meat processors with an automated end-to-end clean meat production system, allowing producers of conventional meat to update supply chain and produce cultivated meat",Cultivated,Meat,Seed,$2.5 million,$0,"$600,000",Equity,"Venture capital ,Private equity,Family office,Angel ",Pitch-Deck-Innocent-Meat July 2021.pdf (https://dl.airtable.com/.attachments/d811dc539c1601cdc90fb88141aa06e7/6777fda7/Pitch-Deck-Innocent-MeatJuly2021.pdf),,Bioprocess design,Ground meat,,,Europe,Germany,"Laura Gertenbach, Philipp Wolters",2018,laura.gertenbach@innocent-meat.com,http://www.innocent-meat.com/
ProProtein,ProProtein is developing a technology to produce milk proteins by fermentation with yeast. ,Precision fermentation,"Dairy,Ingredients and inputs",Pre-seed,"$600,000","$60,000","$60,000","SAFE,Equity","Angel ,Venture capital ",,https://youtu.be/1iv9dvrvt0w,"Bioprocess design,Host strain development",Other dairy,Other,Casein,Europe,Estonia,"Kaisa Orgusaar, Tiina Tamm",2021,info@proprotein.eu,https://proprotein.eu/
SHIOK MEATS,"Singapore-based company producing cultivated seafood, including crustaceans like shrimps, crabs, and lobsters",Cultivated,"Meat,Seafood",Series B,$100 million,N/A,$30 million,"Equity,SAFE","Strategic or corporate,Venture capital ,Sovereign wealth fund",,,End product formulation and manufacturing,Whole muscle meat,"Fish,Shellfish",,Asia Pacific,Singapore,"Sandhya Sriram, Ka Yi Ling",2018,shikha.m@shiokmeats.com,https://shiokmeats.com/
Sincarne ,US-based company focused on creating mycoprotein products for both wholesale and retail markets.,Biomass fermentation,"Meat,Eggs,Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Food processing infrastructure and equipment",Seed,$2 million,$0,"$50,000","Convertible debt,SAFE,Equity,KISS","Angel ,Accelerator/incubator,Venture capital ,Family office,Strategic or corporate,Private equity,Foundation",,,"End product formulation and manufacturing,Host strain development","Ground meat,Whole muscle meat,Milk,Other meat,Cheese,Other dairy,Pet food,Eggs,Ingredients",,Fungi,Global,United States,Brian Sefton,2021,bsefton@sincarne.com,https://sincarne.com/
Smallfood Inc. ,Canadian company that produces novel proteins sourced from micro-algae. ,Biomass fermentation,Ingredients and inputs,Series B,$30 million,$0,$20 million,"Equity,Convertible debt,General debt","Family office,Strategic or corporate,Venture capital ,Bank",,,Ingredient optimization,Other,,Other,U.S. and Canada,Canada,Marc St-Onge,2018,mstonge@smallfood.com ,www.smallfood.com
Alghètica s.r.l.,Uses microalgae as a platform to produce food and pharma ingredients via mobile photobioreactors that are designed to capture atmospheric CO2. The process is continuously optimized through AI and Machine Learning technology.,Biomass fermentation,Ingredients and inputs,Pre-seed,$1-2 million,$0,$0,"Equity,Convertible debt,SAFE,KISS","Angel ,Venture capital ,Strategic or corporate,Private equity,Bank,Hedge fund",Alghètica.pdf (https://dl.airtable.com/.attachments/980e2f3e2b68964f9c3ad791448c05f7/8e153c2a/Alghetica.pdf),,Ingredient optimization,Other,,Algae,,Italy,Anthony Rosa,2021,anthony.rosa@alghetica.com,https://www.alghetica.com/
The Leaf Protein Co.,"US and Australian based company developing plant protein ingredients from nature's most abundant source of protein, green leaves. Our leaf protein ingredients are sustainably sourced from crop by-products and regenerative plants. They are free from the major plant allergens and not genetically modified.",Plant-based,Ingredients and inputs,Seed,"$500,000",$0,"$100,000","SAFE,Equity","Angel ,Accelerator/incubator",TheLeafProtein_Nov2021.pdf (https://dl.airtable.com/.attachments/c60c0c46b7339cb58cfbbe074ca4e825/25b4f01b/TheLeafProtein_Nov2021.pdf),https://youtu.be/0CROcjPtk1w,Ingredient optimization,Ingredients,,Other,"Australia,U.S. and Canada",Australia,Fern Ho and Connor Balfany,2020,fern.ho@theleafprotein.com,www.theleafprotein.com
Patch Organics,"US-based company that produces organic plant-based milk alternative products, using nutritious, sustainable pumpkin seeds as a base ingredient.",Plant-based,Dairy,Pre-seed,$1 million,$1 million,$1 million,Convertible debt,"Angel ,Accelerator/incubator,Family office",Patch Organics Deck GWS 04052021.pptx (https://dl.airtable.com/.attachments/13135f143339ee18c22c172bc7bf96f9/8fd47541/PatchOrganicsDeckGWS04052021.pptx),https://drive.google.com/drive/u/1/folders/1sUueLcMFFbYQTmLNlrl43tvoSgt-VcsA ,End product formulation and manufacturing,Milk,,"Pumpkin,Pea",U.S. and Canada,United States,"Patricia Trongone, Gil Kernan",2019,gil@patchmilk.com,www.patchmilk.com
Power To Protein,Power-to-Protein is about closing this artificial nitrogen cycle by direct N upcycling as microbial protein.,Biomass fermentation,Ingredients and inputs,Pre-seed,$6 million,$0,$0,Equity,"Angel ,Accelerator/incubator,Venture capital ,Family office,Strategic or corporate,Private equity",Power to Protein Pitch.pdf (https://dl.airtable.com/.attachments/689ffdae3e5b3a4a60585b7419cf5f9a/b56dfe5a/PowertoProteinPitch.pdf),https://www.loom.com/share/3ed277253ebf42bb965a337b536fa6b2,Ingredient optimization,,,,,Netherlands,,2015,stijn.boeren@powertoprotein.com,https://www.powertoprotein.eu/
