Company,Brief Description,Year Founded,Website,Logo,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Founders
Agulos Biotech,U.S.-based startup developing Simulated Platelet Lysate (porcine) as a replacement for fetal bovine serum.,2017,http://agulosbiotech.com/,download (1).png (https://dl.airtable.com/.attachments/a67f0835763f5c7a600483acce64dbc2/78644fd0/download1.png),Cultivated,Bioprocessing infrastructure and equipment,Cell culture media,,Beef/veal,,U.S. and Canada,United States,Wisconsin,Lake Mills,Jonathan Irwin
Aleph Farms,Israel-based company producing cultivated beef steak,2017,https://www.aleph-farms.com/,fwhce84ehyiy1hxs6qro.png (https://dl.airtable.com/.attachments/1def1d73585e90a4b164fd7503416b6f/1fdce492/fwhce84ehyiy1hxs6qro.png),Cultivated,Meat,"End product formulation and manufacturing,Scaffolding and structure","Ground meat,Whole muscle meat",Beef/veal,,Africa/Middle East,Israel,,Rehovot,"Didier Toubia, Prof. Shulamit Levenberg"
Alife Foods,Germany-based company producing cultured schnitzel ,2019,http://alifefoods.de/,1569833371395.jpg (https://dl.airtable.com/.attachments/8144b562d2cacff98683ae076a4a8db0/c63434d7/1569833371395.jpg),Cultivated,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,Europe,Germany,Sachsen,Leipzig,"Steffen Sonnenberg, Dat Tran, Joe Natoli, Bernd Boeck"
Ambi Real Food,"Brazil-based company producing cultured meat products, focusing on beef",2021,https://ambirealfood.com/,ambi real food logo.png (https://dl.airtable.com/.attachments/2447d9bf4b73db21ba78f4d863c66108/4423c611/ambirealfoodlogo.png),Cultivated,Meat,End product formulation and manufacturing,,Beef/veal,,Latin America,Brazil,,Porto Alegre,
Animal Alternative Technologies,"U.K.-based company creating a complete, scalable cultured meat manufacturing system: the Renaissance Farm®, which includes raw materials, hardware (eg. bioreactors), AI software, bioelectronics, and bioprocesses ",2020,https://www.animalalternativetechnologies.com/,AAT + RF Logo.png (https://dl.airtable.com/.attachments/24491bd98e8e6526f360e2d37b39b226/248ddbe6/AATRFLogo.png),Cultivated,"Bioprocessing infrastructure and equipment,Meat,Ingredients and inputs,Food processing infrastructure and equipment,Other","Bioprocess design,Scaffolding and structure,End product formulation and manufacturing,Ingredient optimization",Other,,,"Global,Europe",United Kingdom,,Cambridge,"Clarisse Beurrier, Yash Mishra"
ANJY MEAT,"Croatia-based company creating meat products that are rare in industrial animal agriculture, piloting with a lion burger.",2021,http://anjymeat.com/,ANJY MEAT - directory logo.png (https://dl.airtable.com/.attachments/0652e1ffd2061989cbbd777f814d47fa/968a2982/ANJYMEAT-directorylogo.png),Cultivated,Meat,End product formulation and manufacturing,Ground meat,Other,,Europe,Croatia,,Zagreb,"Davor Debrecin, Anja Eloise Livaić"
Another Fish,"Canada-based company that produces cell-cultured fish-fillet products, piloting with a whitefish fillet ",2021,www.another.fish,logo_vector.svg (https://dl.airtable.com/.attachments/afa621051e042e369555ddff23b9257a/03b3d752/logo_vector.svg),Cultivated,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,Fish,,U.S. and Canada,Canada,,Montreal,"Nicholash Bedi, Keegan Scott"
Ants Innovate,"Singapore-based deep tech company focusing on developing cultivated whole meat cuts, including pork ",2020,https://www.antsinnovate.com/,AntsInnovate.jpeg (https://dl.airtable.com/.attachments/57217da8986dd186a6a4da266fbf7184/5bd4d109/AntsInnovate.jpeg),Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,Pork,,Asia Pacific,Singapore,,Singapore,"Shujian On, Hanry Yu"
Appleton Meats,"Canada-based company working on scaling up the production of clean ground beef, chicken, and mouse-meat (for cat treats)",2016,https://www.crunchbase.com/organization/appleton-meats,AppletonMeats.png (https://dl.airtable.com/.attachments/dae082229030f1e94fc7e49b663db917/a26d0ce1/AppletonMeats.png),Cultivated,Meat,End product formulation and manufacturing,"Ground meat,Pet food","Beef/veal,Chicken,Other",,U.S. and Canada,Canada,,"Vancouver, B.C.",Sid D. Deen
Ark Biotech,"U.S.-based company that produces scalable, affordable bioreactors and operating systems for the industrial production of cultivated meat",2021,https://www.ark-biotech.com,s0T6HGoGRrGLpDd0PZm12oPJGnn1639145320578_200x200.png (https://dl.airtable.com/.attachments/af9d4e743f1b4c4665487fa03e9aab19/367a3379/s0T6HGoGRrGLpDd0PZm12oPJGnn1639145320578_200x200.png),Cultivated,Food processing infrastructure and equipment,Bioprocess design,,,,U.S. and Canada,United States,New York,New York City ,Yossi Quint
ArtMeat,Russia-based start-up working on cultivated horse and sturgeon cells,2019,http://artmeat.pro/,download.jpg (https://dl.airtable.com/.attachments/7b8f1eb3c78a7be1af645f9cac443eb0/e0bbb2c6/download.jpg),Cultivated,"Meat,Seafood",End product formulation and manufacturing,"Ground meat,Other","Fish,Other",,Asia Pacific,Russia,,Kazan,"Askar Latyshev, Albert Rizvanov, Elena Zakirova"
Avant Meats,"Hong Kong-based company using proprietary biotechnology platform to produce cultivated fish products, including food, skincare, and other functional applications",2018,https://www.avantmeats.com/,tbnkq9whzxvh5fxpj6uj.png (https://dl.airtable.com/.attachments/0012f06f21c7d51bbb38fb2ed66fa239/17526dcb/tbnkq9whzxvh5fxpj6uj.png),Cultivated,"Meat,Seafood",End product formulation and manufacturing,Ground meat,Fish,,Asia Pacific,Hong Kong,,Hong Kong,"Carrie Chan, Mario Chin"
